datapath   port   port-speed(B/s)
07          5          59.3

08          1        2676.2
08          2        1366.3

datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3        1317.4
01          4        2634.7
01          5        2006.0
01          6        2634.7

02          1        1317.4
02          2        2006.0

03          1        2008.0
03          2        1378.6

04          1        2004.0
04          2        2004.0

05          1        2006.0
05          2        1377.2

06          1        1377.2
06          2        2574.9

07          1        1385.5
07          2        2647.9
07          3        2524.6
07          4        1325.3
07          5          60.2

08          1        2579.6
08          2        1321.3

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.9
01          3        1377.2
01          4        2632.1
01          5        2006.0
01          6        2572.3

02          1        1375.9
02          2        1944.2

03          1        1944.2
03          2        1316.1

04          1        2006.0
04          2        2006.0

05          1        2004.0
05          2        1375.9

06          1        1377.2
06          2        2634.7

07          1        1313.4
07          2        2629.5
07          3        2629.5
07          4        1373.1
07          5           0.0

08          1        2574.9
