datapath   port   port-speed(B/s)
08          2        1371.8

datapath   port   port-speed(B/s)
01          1      682329.0
01          2          60.0
01          3        2577.0
01          4      704523.0
01          5        3147.0
01          6        2010.0

02          1        2579.6
02          2        1948.9

03          1        1945.1
03          2       67840.2

04          1        3150.2
04          2        2456.5

05          1        2458.9
05          2        1827.7

06          1        1827.7
06          2       69435.9

07          1       67976.0
07          2      703714.7
07          3       69366.4
07          4       69363.4
07          5      692326.3

08          1        2014.0
08          2       69432.9

datapath   port   port-speed(B/s)
01          1      682635.1
01          2          59.8
01          3        2572.3
01          4      677631.1
01          5        3260.2
01          6        2004.0

02          1        2569.7
02          2        2002.0

03          1        2002.0
03          2       22458.2

04          1        3253.7
04          2        2626.9

05          1        2624.3
05          2        1998.0

06          1        1998.0
06          2       20910.5

07          1       22435.8
07          2      677787.1
07          3       20931.3
07          4       20871.6
07          5      691202.0

08          1        2004.0
08          2       20913.3

datapath   port   port-speed(B/s)
01          1      682530.3
01          2          59.7
01          3        2626.9
01          4      677596.0
01          5        3253.7
01          6        2000.0

02          1        2626.9
02          2        2000.0

03          1        2002.0
03          2       69143.4

04          1        3253.7
04          2        2504.5

05          1        2507.0
05          2        1942.2

06          1        1942.2
06          2       69074.6

07          1       69143.4
07          2      678333.7
07          3       69143.4
07          4       69143.4
07          5      675264.9

08          1        1996.0
08          2       68937.4

datapath   port   port-speed(B/s)
01          1      682386.8
01          2           0.0
01          3        2632.1
01          4      679010.0
01          5        3260.2
01          6        2004.0

02          1        2632.1
02          2        2004.0

03          1        2002.0
03          2       70649.4

04          1        3260.2
04          2        2632.1

05          1        2632.1
05          2        2004.0

06          1        2002.0
06          2       70660.0

07          1       70719.8
07          2      677439.7
07          3       70660.0
07          4       70719.8
07          5      674490.5

08          1        2004.0
08          2       70719.8

datapath   port   port-speed(B/s)
01          1      683272.9
01          2          59.7
01          3        2626.9
01          4      676705.2
01          5        3134.5
01          6        2002.0

02          1        2629.5
02          2        1942.2

03          1        1942.2
03          2       70589.6

04          1        3134.5
04          2        2629.5

05          1        2629.5
05          2        2002.0

06          1        2002.0
06          2       70649.4

07          1       70449.3
07          2      677692.2
07          3       70438.9
07          4       70508.9
07          5      675485.1

08          1        2002.0
08          2       70649.4

datapath   port   port-speed(B/s)
01          1      682350.0
01          2          60.0
01          3        2391.0
01          4      677454.0
01          5        3203.8
01          6        1885.1

02          1        2391.0
02          2        1884.0

03          1        1884.0
03          2       70869.0

04          1        3210.2
04          2        2579.6

05          1        2579.6
05          2        1948.9

06          1        1950.9
06          2       71074.1

07          1       71011.0
07          2      676459.4
07          3       71145.4
07          4       71014.0
07          5      674923.8

08          1        1890.8
08          2       71014.0

datapath   port   port-speed(B/s)
01          1      681955.2
01          2          59.8
01          3        2629.5
01          4      678521.9
01          5        3260.2
01          6        1881.4

02          1        2626.9
02          2        1940.3

03          1        1942.2
03          2        1252.0

04          1        3253.7
04          2        2626.9

05          1        2624.3
05          2        1998.0

06          1        1998.0
06          2        1371.8

07          1        1250.7
07          2      677846.8
07          3        1373.1
07          4        1373.1
07          5      674652.7

08          1        1879.5
08          2        1374.5

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3          59.8
01          4          59.8
01          5         119.5

02          1          59.9
02          2         622.8
02          3         119.8
02          4         119.8

03          1         622.8
03          2        1125.7
03          3         562.9

04          1          59.9
04          2         119.9
04          3         119.9

05          1         119.9
05          2         119.8
05          3         119.9
05          4          59.9

06          1         120.1
06          2        1128.0
06          3         375.0

07          1           0.0
07          2           0.0

08          1         562.9
08          2          59.9
08          3         374.6
08          4           0.0
08          5           0.0

datapath   port   port-speed(B/s)
04          1      2399569.0
04          2      2587467.0
04          3      2463806.0

datapath   port   port-speed(B/s)
01          1           0.0
01          2          59.8
01          3          59.8
01          4          59.9
01          5          59.8

02          1         119.9
02          2          59.9
02          3          60.0
02          4         119.9

03          1          59.9
03          2         748.5
03          3         685.6

04          1          59.9
04          2          59.9
04          3          59.9

05          1         120.0
05          2         120.0
05          3         690.0
05          4         120.0

06          1         687.9
06          2         628.1
06          3         687.9

07          1          59.9
07          2           0.0

08          1         630.0
08          2         120.0
08          3         690.0
08          4         120.0
08          5           0.0

datapath   port   port-speed(B/s)








datapath   port   port-speed(B/s)
01          3         180.0
