datapath   port   port-speed(B/s)
07          5      750950.1

08          1        1883.2
08          2        1377.2

datapath   port   port-speed(B/s)
01          1      888355.9
01          2          59.8
01          3      754598.2
01          4        1374.5
01          5        3197.4
01          6        2004.0

02          1      754598.2
02          2      754035.9

03          1      753284.9
03          2      749704.2

04          1        3197.4
04          2        2632.1

05          1        2632.1
05          2        2004.0

06          1        2002.0
06          2        1374.5

07          1      752654.4
07          2        1374.5
07          3        1374.5
07          4        1374.5
07          5      749460.2

08          1        2002.0
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      918603.6
01          2          59.8
01          3      750959.2
01          4        1375.9
01          5        3197.2
01          6        1942.2

02          1      753843.6
02          2      753344.6

03          1      754095.7
03          2      753467.6

04          1        3134.5
04          2        2629.5

05          1        2629.5
05          2        1942.2

06          1        1944.2
06          2        1375.9

07          1      753467.6
07          2        1375.9
07          3        1375.9
07          4        1375.9
07          5      750267.2

08          1        1944.2
08          2        1375.9

datapath   port   port-speed(B/s)
01          1      940191.4
01          2          59.8
01          3      756047.9
01          4        1374.5
01          5        3260.2
01          6        2004.0

02          1      753094.7
02          2      752592.2

03          1      752526.4
03          2      753342.0

04          1        3260.2
04          2        2509.5

05          1        2509.5
05          2        2004.0

06          1        2004.0
06          2        1374.5

07          1      750454.6
07          2        1375.9
07          3        1375.9
07          4        1375.9
07          5      747248.3

08          1        2002.0
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      992358.6
01          2          59.8
01          3      752338.6
01          4        1374.5
01          5        3257.0
01          6        2002.0

02          1      752338.6
02          2      753344.6

03          1      753344.6
03          2      752717.1

04          1        3257.0
04          2        2629.5

05          1        2629.5
05          2        2002.0

06          1        2002.0
06          2        1255.0

07          1      752651.4
07          2        1374.5
07          3        1192.2
07          4        1314.7
07          5      749519.9

08          1        2002.0
08          2        1314.7

datapath   port   port-speed(B/s)
01          1      1003675.0
01          2           0.0
01          3      754598.2
01          4        1375.9
01          5        3260.2
01          6        2004.0

02          1      754598.2
02          2      754029.9

03          1      753344.6
03          2      752657.4

04          1        3260.2
04          2        2569.3

05          1        2569.3
05          2        2004.0

06          1        2002.0
06          2        1313.1

07          1      752657.4
07          2        1374.5
07          3        1374.5
07          4        1314.7
07          5      749519.9

08          1        2004.0
08          2        1316.1

datapath   port   port-speed(B/s)
01          1      1023479.5
01          2          59.9
01          3      753089.9
01          4        1318.7
01          5        3266.7
01          6        2008.0

02          1      753843.0
02          2      753465.0

03          1      753465.0
03          2      752772.0

04          1        3273.3
04          2        2579.6

05          1        2579.6
05          2        1888.9

06          1        1890.8
06          2        1319.6

07          1      753525.5
07          2        1321.3
07          3        1318.3
07          4        1381.4
07          5      750438.4

08          1        2010.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1      1116719.3
01          2          59.9
01          3      755983.0
01          4        1318.7
01          5        3266.7
01          6        2008.0

02          1      755983.0
02          2      752577.4

03          1      752577.4
03          2      752014.0

04          1        3263.5
04          2        2574.9

05          1        2574.9
05          2        2006.0

06          1        2006.0
06          2        1377.2

07          1      751263.5
07          2        1317.4
07          3        1377.2
07          4        1377.2
07          5      748059.9

08          1        2008.0
08          2        1378.6

datapath   port   port-speed(B/s)
01          1      1251748.3
01          2          59.9
01          3      738581.4
01          4      938639.4
01          5        3206.8
01          6        1948.1

02          1      738581.4
02          2      737223.8

03          1      737223.8
03          2      738640.4

04          1        3210.0
04          2        2710.0

05          1        2710.0
05          2        2010.0

06          1        2008.0
06          2        1448.6

07          1      739379.0
07          2      939578.0
07          3        1450.0
07          4        1380.0
07          5      1212752.0

08          1        1948.1
08          2        1378.6

datapath   port   port-speed(B/s)
01          1      1265452.2
01          2          59.8
01          3      735867.5
01          4      1015338.6
01          5        3257.0
01          6        1942.2

02          1      735135.3
02          2      737581.1

03          1      738315.7
03          2      734860.6

04          1        3250.5
04          2        2624.3

05          1        2624.3
05          2        1998.0

06          1        2000.0
06          2        1371.8

07          1      734129.4
07          2      1017275.6
07          3        1373.1
07          4        1310.4
07          5      1257389.1

08          1        1940.3
08          2        1310.4

datapath   port   port-speed(B/s)
